question,total_responses,total_correct,p_difficulty,p_difficulty_percent
What is something Stephen forgot?,480,0,0.0,0.0%
What is something that is not mentioned in this passage?,380,154,0.405,40.5%
What is something that the woman does NOT say?,436,0,0.0,0.0%
What is the customer’s apartment number?,404,270,0.668,66.8%
What is the difference between Liberty and Peace and the two unnamed turkeys mentioned in the audio?,480,242,0.504,50.4%
What is the goal of this project?,890,430,0.483,48.3%
What is the goal of this study?,404,176,0.436,43.6%
What is the main idea of this passage?,888,178,0.2,20.0%
What is the man’s character supposed to do?,404,202,0.5,50.0%
What is the most popular smoothie?,548,464,0.847,84.7%
What is the passage mainly about?,404,194,0.48,48.0%
What is the primary quality of an ideal candidate?,404,226,0.559,55.9%
What is the purpose of referring to Shakespeare in this passage?,404,0,0.0,0.0%
What is the purpose of the book?,452,146,0.323,32.3%
What is the response of Hispanic advocacy groups to Walt Disney Co.’s new princess?,380,166,0.437,43.7%
What is this passage about?,1340,248,0.185,18.5%
What is this passage mainly about?,916,436,0.476,47.6%
What is true about Smokers' Helpline?,436,234,0.537,53.7%
What is true about the item?,436,254,0.583,58.3%
What is true about the passage?,436,288,0.661,66.1%
What is true about the tickets the airline employee recommends?,404,178,0.441,44.1%
What is true about the tickets?,404,150,0.371,37.1%
What is true about this conversation?,952,676,0.71,71.0%
What is true about this passage?,1268,350,0.276,27.6%
What is true according to this audio?,548,0,0.0,0.0%
What is true according to this passage?,436,128,0.294,29.4%
What is unusual about this hamburger?,890,350,0.393,39.3%
What kinds of tickets does this office sell?,452,162,0.358,35.8%
What made this situation a “kick in the teeth”?,548,386,0.704,70.4%
What noteworthy change does President Obama mention in his speech?,380,76,0.2,20.0%
What seems to be the author’s attitude toward journalistic sensationalism?,404,0,0.0,0.0%
What size hard drive does the customer need to get?,548,268,0.489,48.9%
What time is the appointment?,792,482,0.609,60.9%
What was NOT mentioned in this audio?,380,0,0.0,0.0%
What was NOT mentioned in this passage?,452,0,0.0,0.0%
What was the best food you had in the past year?,890,278,0.312,31.2%
What were the “unfounded allegations designed to destroy [his/her] career”?,380,0,0.0,0.0%
What will Liberty do afterwards? ,480,204,0.425,42.5%
What will happen as a result of the increase of taxes?,548,422,0.77,77.0%
What will most likely happen next?,436,200,0.459,45.9%
What would a creator need to do in order to utilize the service discussed here?,380,0,0.0,0.0%
"When Matz Engman says ""this is huge"" in paragraph 4, ""this"" refers to ____________.",452,0,0.0,0.0%
When did the man go to the electronics store?,436,328,0.752,75.2%
When does the customer plan to come back from Atlanta?,404,306,0.757,75.7%
When is this office open?,452,326,0.721,72.1%
"When it rains, she wears her rain boots.",792,340,0.429,42.9%
"When officials reported wanting to investigate the crime scene, the residents of the town refused to allow the officials to do so.",792,288,0.364,36.4%
"When you ""engage vigorously"" in something, you ____________.",548,274,0.5,50.0%
Where is Netflix located?,548,436,0.796,79.6%
Which character does the man play?,404,236,0.584,58.4%
Which film did Uggie NOT appear in?,548,306,0.558,55.8%
Which food trend was NOT mentioned?,548,0,0.0,0.0%
Which of the following best summarizes the thoughts reflected in this passage?,436,0,0.0,0.0%
Which of the following events was important for her?,452,238,0.527,52.7%
Which of the following is NOT a gas mileage that was mentioned in this passage as being fuel-efficient?,452,126,0.279,27.9%
Which of the following is NOT true about the art festival?,380,164,0.432,43.2%
Which of the following is a true statement according to the passage?,860,0,0.0,0.0%
Which of the following statements is not found in the passage?,380,204,0.537,53.7%
Which statement is true about the show?,404,116,0.287,28.7%
"While the Bolsa Mexicana de Valores SAB has actively courted algorithmic traders, the country is at least a decade behind the U.S. in terms of automation.",436,190,0.436,43.6%
"While we will consider these claims in more detail, the point that I would like to demonstrate is that none of the debates has reached closure. ",480,0,0.0,0.0%
Who are Liberty and Peace?,480,290,0.604,60.4%
Who created a budget plan that would cut trillions in federal spending?,436,200,0.459,45.9%
Who did Edward Snowden formerly work for?,480,242,0.504,50.4%
Who first bought the dishwasher?,890,288,0.324,32.4%
Who is NOT trying to make this hamburger?,890,304,0.342,34.2%
Who is Omar Van Muller?,548,408,0.745,74.5%
Who is able to access the streaming service?,436,202,0.463,46.3%
Who is most likely the audience of this lecture?,436,0,0.0,0.0%
"Who is referred to as those ""in uniform""?",380,70,0.184,18.4%
"Who is the ""buddy"" Stephen's friend refers to? ",480,0,0.0,0.0%
Who is the direct overseer of Immigration and Customs Enforcement?,380,0,0.0,0.0%
Who oversees privacy issues in the United States?,792,330,0.417,41.7%
Who owns the building?,890,410,0.461,46.1%
Who spray-painted the building?,890,364,0.409,40.9%
Who wrote the song “I Was Here”?,452,250,0.553,55.3%
Whoever the population elects as president will have a long road ahead.,436,234,0.537,53.7%
Whomever the committee selects for this scholarship will also be presented at the school assembly.,380,0,0.0,0.0%
Why are some people angry with Baby Shaker?,404,0,0.0,0.0%
Why did Beyonce perform at the UN?,452,324,0.717,71.7%
Why did Josephine say she would invent the dishwasher?,890,338,0.38,38.0%
Why did the man go to the electronics store?,436,118,0.271,27.1%
Why does the author consider contemporary culture to be eclectic?,404,0,0.0,0.0%
Why does the customer call Delta Airlines?,404,168,0.416,41.6%
Why does the customer decline recommendations for a hotel?,404,104,0.257,25.7%
Why does the seat need to be in its upright position during take off and landing?,452,264,0.584,58.4%
Why don't you take a walk outside? It'll make you feel more refreshed.,480,244,0.508,50.8%
"Why haven't officials responded to the case? Until they do, citizens will continue to grow suspicious.",380,0,0.0,0.0%
Why is Josephine Cochrane important? ,890,356,0.4,40.0%
Why is an increase of taxes on a beverage taking place?,548,332,0.606,60.6%
"Why is the ""buddy"" going to the VA clinic?",480,0,0.0,0.0%
"With the exception of seven children, everyone in the building was confronted by the police.",548,398,0.726,72.6%
With which of the following statements would the man most agree?,436,76,0.174,17.4%
With which of the following statements would the people in this audio agree?,380,0,0.0,0.0%
Women are working together in an office.,452,290,0.642,64.2%
Would you mind opening that window on your way out? It's really stuffy in here.,436,0,0.0,0.0%
You should have an apple each day.,404,156,0.386,38.6%
You're never responsible for unauthorized purchases on your Discover card.,452,144,0.319,31.9%
Your body breaks food down into glucose in order to use it for fuel.,1000,246,0.246,24.6%
____________ is a main component of IRT. ,480,206,0.429,42.9%
"“Maleficent” aims to be both a retelling of the fairy tale — albeit taking several eyebrow-raising artistic liberties — and an exploration of her past, to show what made her so cruel.",452,0,0.0,0.0%
