question,point_biserial,p_value
What will happen as a result of the increase of taxes?,0.3501,<0.0001
What will most likely happen next?,0.1609,<0.0001
What would a creator need to do in order to utilize the service discussed here?,nan,<0.0001
"When Matz Engman says ""this is huge"" in paragraph 4, ""this"" refers to ____________.",nan,<0.0001
When did the man go to the electronics store?,0.1359,<0.0001
When does the customer plan to come back from Atlanta?,0.193,<0.0001
When is this office open?,0.1116,<0.0001
"When it rains, she wears her rain boots.",0.0252,0.2919
"When officials reported wanting to investigate the crime scene, the residents of the town refused to allow the officials to do so.",-0.0107,0.6535
"When you ""engage vigorously"" in something, you ____________.",0.2562,<0.0001
Where is Netflix located?,0.3235,<0.0001
Which character does the man play?,0.1873,<0.0001
Which film did Uggie NOT appear in?,0.2829,<0.0001
Which food trend was NOT mentioned?,nan,<0.0001
Which of the following best summarizes the thoughts reflected in this passage?,nan,<0.0001
Which of the following events was important for her?,0.168,<0.0001
Which of the following is NOT a gas mileage that was mentioned in this passage as being fuel-efficient?,0.1198,<0.0001
Which of the following is NOT true about the art festival?,0.1673,<0.0001
Which of the following is a true statement according to the passage?,nan,<0.0001
Which of the following statements is not found in the passage?,0.1729,<0.0001
Which statement is true about the show?,0.1176,<0.0001
"While the Bolsa Mexicana de Valores SAB has actively courted algorithmic traders, the country is at least a decade behind the U.S. in terms of automation.",0.173,<0.0001
"While we will consider these claims in more detail, the point that I would like to demonstrate is that none of the debates has reached closure. ",nan,<0.0001
Who are Liberty and Peace?,0.1839,<0.0001
Who created a budget plan that would cut trillions in federal spending?,0.168,<0.0001
Who did Edward Snowden formerly work for?,0.1776,<0.0001
Who first bought the dishwasher?,0.1511,<0.0001
Who is NOT trying to make this hamburger?,0.131,<0.0001
Who is Omar Van Muller?,0.3515,<0.0001
Who is able to access the streaming service?,0.1127,<0.0001
Who is most likely the audience of this lecture?,nan,<0.0001
"Who is referred to as those ""in uniform""?",0.0534,0.0252
"Who is the ""buddy"" Stephen's friend refers to? ",nan,<0.0001
Who is the direct overseer of Immigration and Customs Enforcement?,nan,<0.0001
Who oversees privacy issues in the United States?,0.0691,0.0038
Who owns the building?,0.0936,<0.0001
Who spray-painted the building?,0.0868,0.0003
Who wrote the song “I Was Here”?,0.1334,<0.0001
Whoever the population elects as president will have a long road ahead.,0.1651,<0.0001
Whomever the committee selects for this scholarship will also be presented at the school assembly.,nan,<0.0001
Why are some people angry with Baby Shaker?,nan,<0.0001
Why did Beyonce perform at the UN?,0.154,<0.0001
Why did Josephine say she would invent the dishwasher?,0.117,<0.0001
Why did the man go to the electronics store?,0.0176,0.4597
Why does the author consider contemporary culture to be eclectic?,nan,<0.0001
Why does the customer call Delta Airlines?,0.1474,<0.0001
Why does the customer decline recommendations for a hotel?,0.1664,<0.0001
Why does the seat need to be in its upright position during take off and landing?,0.1832,<0.0001
Why don't you take a walk outside? It'll make you feel more refreshed.,0.1933,<0.0001
"Why haven't officials responded to the case? Until they do, citizens will continue to grow suspicious.",nan,<0.0001
Why is Josephine Cochrane important? ,0.0914,0.0001
Why is an increase of taxes on a beverage taking place?,0.3423,<0.0001
"Why is the ""buddy"" going to the VA clinic?",nan,<0.0001
"With the exception of seven children, everyone in the building was confronted by the police.",0.3389,<0.0001
With which of the following statements would the man most agree?,0.0428,0.0729
With which of the following statements would the people in this audio agree?,nan,<0.0001
Women are working together in an office.,0.1672,<0.0001
Would you mind opening that window on your way out? It's really stuffy in here.,nan,<0.0001
You should have an apple each day.,0.1048,<0.0001
You're never responsible for unauthorized purchases on your Discover card.,0.1602,<0.0001
Your body breaks food down into glucose in order to use it for fuel.,0.1444,<0.0001
____________ is a main component of IRT. ,0.1915,<0.0001
"“Maleficent” aims to be both a retelling of the fairy tale — albeit taking several eyebrow-raising artistic liberties — and an exploration of her past, to show what made her so cruel.",nan,<0.0001
