question,user_answer,total_selected,total_correct,total_responses,pct_selected,pct_correct,correct_answer
"Everyone signed the petition to open the zoo back up, yet it remained closed.",I don't know,17,0,190,0.089,0,yet
"Everyone signed the petition to open the zoo back up, yet it remained closed.",nor,18,0,190,0.095,0,
"Everyone signed the petition to open the zoo back up, yet it remained closed.",or,28,0,190,0.147,0,
"Everyone signed the petition to open the zoo back up, yet it remained closed.",so,34,0,190,0.179,0,
"Everyone signed the petition to open the zoo back up, yet it remained closed.",yet,93,93,190,0.489,1,
"Facebook moved into its new Frank Gehry-designed headquarters in Silicon Valley, with a rooftop park and ""the largest open-plan office in the world.""",I don't know,218,0,218,1,0,into
Flag-waving Spanish workers livid over labor market reforms they see as flagrantly pro-business blocked traffic Thursday.,I don't know,240,0,240,1,0,over
Food rations were given to whoever signed the petition first.,I don't know,36,0,274,0.131,0,whoever
Food rations were given to whoever signed the petition first.,they who,46,0,274,0.168,0,
Food rations were given to whoever signed the petition first.,who those,55,0,274,0.201,0,
Food rations were given to whoever signed the petition first.,whoever,98,98,274,0.358,1,
Food rations were given to whoever signed the petition first.,whom that,39,0,274,0.142,0,
"Food safety is a scientific discipline describing handling, preparation, and storage of food in ways that prevent foodborne illness.",I don't know,190,0,190,1,0,describing
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",for seeing,17,0,240,0.071,0,to see
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",I don't know,25,0,240,0.104,0,
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",see,23,0,240,0.096,0,
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",seeing,31,0,240,0.129,0,
"For some people, the bear deep in the woods is easy to see while others have much difficulty doing so.",to see,144,144,240,0.6,1,
Foreign investors are helping Europe’s troubled businesses out of difficulty.,help,114,0,445,0.256,0,helping
Foreign investors are helping Europe’s troubled businesses out of difficulty.,helped,37,0,445,0.083,0,
Foreign investors are helping Europe’s troubled businesses out of difficulty.,helper,25,0,445,0.056,0,
Foreign investors are helping Europe’s troubled businesses out of difficulty.,helping,185,185,445,0.416,1,
Foreign investors are helping Europe’s troubled businesses out of difficulty.,I don't know,84,0,445,0.189,0,
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,at,13,0,226,0.058,0,on
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,in,31,0,226,0.137,0,
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,I don't know,26,0,226,0.115,0,
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,on,134,134,226,0.593,1,
Freedman says they're putting customers on track to eliminate a few hundred calories a day from their diets.,over,22,0,226,0.097,0,
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",Give,45,0,240,0.188,0,Given
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",Given,92,92,240,0.383,1,
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",Giving,33,0,240,0.138,0,
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",Giving for,44,0,240,0.183,0,
"Given the labor intensity of organic farming, the yield is often smaller than a factory farm.",I don't know,26,0,240,0.108,0,
"Had I known that the traffic was so bad, I would have chosen to take the Brooklyn Bridge instead.",I don't know,218,0,218,1,0,would have chosen
"Had I known the movie was so violent, I wouldn't have let my children watch it.",I don't know,202,0,202,1,0,wouldn't have
"Having a ""closet packed with skeletons"" in paragraph 3 most likely means that ____________.",I don't know,202,0,202,1,0,Blaine had many secrets he wanted to hide
Hawaii has been producing coffee since the mid-nineteenth century.,(no article),27,0,226,0.119,0,the
Hawaii has been producing coffee since the mid-nineteenth century.,a,76,0,226,0.336,0,
Hawaii has been producing coffee since the mid-nineteenth century.,an,13,0,226,0.058,0,
Hawaii has been producing coffee since the mid-nineteenth century.,I don't know,14,0,226,0.062,0,
Hawaii has been producing coffee since the mid-nineteenth century.,the,96,96,226,0.425,1,
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,had planned,16,0,202,0.079,0,was planning
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,has planned,24,0,202,0.119,0,
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,is planning,34,0,202,0.168,0,
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,I don't know,10,0,202,0.05,0,
He was planning a surprise picnic for his wife when he found out about the severe weather conditions.,was planning,118,118,202,0.584,1,
He will visit Linda in the hospital today.,I don't know,15,0,226,0.066,0,visit
He will visit Linda in the hospital today.,visit,145,145,226,0.642,1,
He will visit Linda in the hospital today.,visited,23,0,226,0.102,0,
He will visit Linda in the hospital today.,visiting,23,0,226,0.102,0,
He will visit Linda in the hospital today.,visits,20,0,226,0.088,0,
He's very popular so he has a lot of friends.,lot,38,0,274,0.139,0,lot of
He's very popular so he has a lot of friends.,lot of,153,153,274,0.558,1,
He's very popular so he has a lot of friends.,lots,46,0,274,0.168,0,
He's very popular so he has a lot of friends.,lots of,23,0,274,0.084,0,
He's very popular so he has a lot of friends.,I don't know,14,0,274,0.051,0,
Her actions responded to a shifting landscape of consumption and a philosophy of eating that was filtering down from foodies to everyone else.,I don't know,274,0,274,1,0,responded to
Hospitals in the city that deliver babies will no longer hand out promotional formula.,do,19,0,190,0.1,0,will
Hospitals in the city that deliver babies will no longer hand out promotional formula.,is,18,0,190,0.095,0,
Hospitals in the city that deliver babies will no longer hand out promotional formula.,I don't know,18,0,190,0.095,0,
Hospitals in the city that deliver babies will no longer hand out promotional formula.,was,59,0,190,0.311,0,
Hospitals in the city that deliver babies will no longer hand out promotional formula.,will,76,76,190,0.4,1,
How can you purchase tickets?,At West Lawn,17,0,202,0.084,0,On the website
How can you purchase tickets?,At the Natural History Museum main building,25,0,202,0.124,0,
How can you purchase tickets?,On the website,136,136,202,0.673,1,
How can you purchase tickets?,Only when you give an additional donation,16,0,202,0.079,0,
How can you purchase tickets?,I don't know,8,0,202,0.04,0,
How did Apple respond to this issue?,I don't know,202,0,202,1,0,They publicly apologized and encouraged everyone to remove Baby Shaker from their phones.
How fast did Bolt run the 200 meters?,.12 seconds,23,0,226,0.102,0,19.32 seconds
How fast did Bolt run the 200 meters?,19.32 seconds,165,165,226,0.73,1,
How fast did Bolt run the 200 meters?,20 seconds,3,0,226,0.013,0,
How fast did Bolt run the 200 meters?,200 seconds,14,0,226,0.062,0,
How fast did Bolt run the 200 meters?,I don't know,21,0,226,0.093,0,
How high can it go?,20.5 inches,45,0,240,0.188,0,50.5 inches
How high can it go?,25.5 inches,44,0,240,0.183,0,
How high can it go?,50.5 inches,94,94,240,0.392,1,
How high can it go?,55 inches,23,0,240,0.096,0,
How high can it go?,I don't know,34,0,240,0.142,0,
How long does the show last?,One hour and fifteen minutes,7,0,202,0.035,0,One hour and ten minutes
How long does the show last?,One hour and five minutes,38,0,202,0.188,0,
How long does the show last?,One hour and ten minutes,124,124,202,0.614,1,
How long does the show last?,One hour and twenty minutes,18,0,202,0.089,0,
How long does the show last?,I don't know,15,0,202,0.074,0,
How long is the product?,11 feet,6,0,240,0.025,0,5 feet
How long is the product?,30 feet,25,0,240,0.104,0,
How long is the product?,49 inches,74,0,240,0.308,0,
How long is the product?,5 feet,111,111,240,0.462,1,
How long is the product?,I don't know,24,0,240,0.1,0,
How many gold medals does Bolt have now?,3,10,0,226,0.044,0,5
How many gold medals does Bolt have now?,4,36,0,226,0.159,0,
How many gold medals does Bolt have now?,5,134,134,226,0.593,1,
How many gold medals does Bolt have now?,6,23,0,226,0.102,0,
How many gold medals does Bolt have now?,I don't know,23,0,226,0.102,0,
How many officers so far have admitted to discriminatory actions and abuse toward Latinos?,I don't know,274,0,274,1,0,1
How much are they spending on the hamburger?,1000,52,0,445,0.117,0,330000
How much are they spending on the hamburger?,3000,128,0,445,0.288,0,
How much are they spending on the hamburger?,33000,41,0,445,0.092,0,
How much are they spending on the hamburger?,330000,145,145,445,0.326,1,
How much are they spending on the hamburger?,I don't know,79,0,445,0.178,0,
How much does Mark Mahaney want a Netflix share to cost?,$1 billion,16,0,274,0.058,0,130
How much does Mark Mahaney want a Netflix share to cost?,130,194,194,274,0.708,1,
How much does Mark Mahaney want a Netflix share to cost?,6.2,14,0,274,0.051,0,
How much does Mark Mahaney want a Netflix share to cost?,72.04,26,0,274,0.095,0,
How much does Mark Mahaney want a Netflix share to cost?,I don't know,24,0,274,0.088,0,
How much money is Google expected to make this year?,$10 million,17,0,396,0.043,0,$46 billion
How much money is Google expected to make this year?,$22.5 million,100,0,396,0.253,0,
How much money is Google expected to make this year?,$46 billion,157,157,396,0.396,1,
How much money is Google expected to make this year?,$49 billion,55,0,396,0.139,0,
How much money is Google expected to make this year?,I don't know,67,0,396,0.169,0,
"However, it's not just in education where people are starting to take note.",I don't know,21,0,226,0.093,0,where
"However, it's not just in education where people are starting to take note.",what,28,0,226,0.124,0,
"However, it's not just in education where people are starting to take note.",where,112,112,226,0.496,1,
"However, it's not just in education where people are starting to take note.",which,38,0,226,0.168,0,
"However, it's not just in education where people are starting to take note.",who,27,0,226,0.119,0,
I am afraid to go to bed in the dark.,by,21,0,218,0.096,0,to
I am afraid to go to bed in the dark.,in,14,0,218,0.064,0,
I am afraid to go to bed in the dark.,I don't know,16,0,218,0.073,0,
I am afraid to go to bed in the dark.,of,19,0,218,0.087,0,
I am afraid to go to bed in the dark.,to,148,148,218,0.679,1,
I am deeply excited and honored to join you.,for,24,0,274,0.088,0,to
I am deeply excited and honored to join you.,I don't know,14,0,274,0.051,0,
I am deeply excited and honored to join you.,of,32,0,274,0.117,0,
I am deeply excited and honored to join you.,to,169,169,274,0.617,1,
I am deeply excited and honored to join you.,with,35,0,274,0.128,0,
I can think of a few situations where animals should stay in the zoo.,few,110,110,218,0.505,1,few
I can think of a few situations where animals should stay in the zoo.,many,42,0,218,0.193,0,
I can think of a few situations where animals should stay in the zoo.,I don't know,18,0,218,0.083,0,
I can think of a few situations where animals should stay in the zoo.,several,24,0,218,0.11,0,
I can think of a few situations where animals should stay in the zoo.,some,24,0,218,0.11,0,
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",I don't know,22,0,218,0.101,0,which
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",what,27,0,218,0.124,0,
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",where,40,0,218,0.183,0,
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",which,94,94,218,0.431,1,
"I had looked everywhere for the little dog without any luck, which was making me increasingly frustrated.",who,35,0,218,0.161,0,
I look for new ways to cook fish every week.,cook,145,145,218,0.665,1,cook
I look for new ways to cook fish every week.,cooked,16,0,218,0.073,0,
I look for new ways to cook fish every week.,cooking,30,0,218,0.138,0,
I look for new ways to cook fish every week.,had cooked,15,0,218,0.069,0,
I look for new ways to cook fish every week.,I don't know,12,0,218,0.055,0,
"I told her to do whatever she wanted, and I could not be happier with the results.",and,129,129,218,0.592,1,and
"I told her to do whatever she wanted, and I could not be happier with the results.",for,7,0,218,0.032,0,
"I told her to do whatever she wanted, and I could not be happier with the results.",I don't know,22,0,218,0.101,0,
"I told her to do whatever she wanted, and I could not be happier with the results.",nor,17,0,218,0.078,0,
"I told her to do whatever she wanted, and I could not be happier with the results.",or,43,0,218,0.197,0,
I'm having some trouble with these boxes. Will you please help me move them?,I don't know,202,0,202,1,0,Will you please
"If grilling all the vegetables is the best idea, go ahead and do it.",grill,77,0,202,0.381,0,grilling
"If grilling all the vegetables is the best idea, go ahead and do it.",grilling,61,61,202,0.302,1,
"If grilling all the vegetables is the best idea, go ahead and do it.",I don't know,13,0,202,0.064,0,
"If grilling all the vegetables is the best idea, go ahead and do it.",to grill,36,0,202,0.178,0,
"If grilling all the vegetables is the best idea, go ahead and do it.",to grilling,15,0,202,0.074,0,
"If it had rained even a little more, roads would have been closed for another day.",I don't know,240,0,240,1,0,would have been
"If nominated by one of their employees, the CEOs at the conference would have been eligible to receive the award.",I don't know,274,0,274,1,0,their
"If the Europeans could have foreseen the cataclysm that would befall the world on Aug. 4th of 1914, they would not have declared World War I.",I don't know,226,0,226,1,0,would not have declared
"If the butterflies are ""free-flying"" it means that they ____________.",are free to take home,18,0,202,0.089,0,fly around the butterfly house
"If the butterflies are ""free-flying"" it means that they ____________.",cannot fly,23,0,202,0.114,0,
"If the butterflies are ""free-flying"" it means that they ____________.",fall from the ceiling,13,0,202,0.064,0,
"If the butterflies are ""free-flying"" it means that they ____________.",fly around the butterfly house,133,133,202,0.658,1,
"If the butterflies are ""free-flying"" it means that they ____________.",I don't know,15,0,202,0.074,0,
"If the children were sicker, they would need to go to an urgent care clinic.",I don't know,21,0,218,0.096,0,would need
"If the children were sicker, they would need to go to an urgent care clinic.",need,41,0,218,0.188,0,
"If the children were sicker, they would need to go to an urgent care clinic.",would be,77,0,218,0.353,0,
"If the children were sicker, they would need to go to an urgent care clinic.",would have been,21,0,218,0.096,0,
"If the children were sicker, they would need to go to an urgent care clinic.",would need,58,58,218,0.266,1,
"If the children were smaller, they would not be able to go on the ride.",are,39,0,240,0.162,0,would
"If the children were smaller, they would not be able to go on the ride.",did,84,0,240,0.35,0,
"If the children were smaller, they would not be able to go on the ride.",I don't know,16,0,240,0.067,0,
"If the children were smaller, they would not be able to go on the ride.",were,25,0,240,0.104,0,
"If the children were smaller, they would not be able to go on the ride.",would,76,76,240,0.317,1,
"If the passage were to continue, what would most likely be discussed next?",A type of medicine containing lycopene to cure cancer,27,0,202,0.134,0,More studies about the links between lycopene and lower cancer risks
"If the passage were to continue, what would most likely be discussed next?",Future improvements of food coloring using lycopene,26,0,202,0.129,0,
"If the passage were to continue, what would most likely be discussed next?",How to add other lycopene-rich foods to your diet,29,0,202,0.144,0,
"If the passage were to continue, what would most likely be discussed next?",More studies about the links between lycopene and lower cancer risks,95,95,202,0.47,1,
"If the passage were to continue, what would most likely be discussed next?",I don't know,25,0,202,0.124,0,
"If there had been even one more person, we would not have fit in the car.",did not,30,0,190,0.158,0,would not have
"If there had been even one more person, we would not have fit in the car.",do not,28,0,190,0.147,0,
"If there had been even one more person, we would not have fit in the car.",had not,46,0,190,0.242,0,
"If there had been even one more person, we would not have fit in the car.",I don't know,20,0,190,0.105,0,
"If there had been even one more person, we would not have fit in the car.",would not have,66,66,190,0.347,1,
"If weather conditions were worse, the roads would be closed.",are,35,0,202,0.173,0,would be
"If weather conditions were worse, the roads would be closed.",I don't know,11,0,202,0.054,0,
"If weather conditions were worse, the roads would be closed.",will be,54,0,202,0.267,0,
"If weather conditions were worse, the roads would be closed.",would be,88,88,202,0.436,1,
"If weather conditions were worse, the roads would be closed.",would have been,14,0,202,0.069,0,
"If you eat now, you will be hungry later.",are,63,0,274,0.23,0,will be
"If you eat now, you will be hungry later.",I don't know,13,0,274,0.047,0,
"If you eat now, you will be hungry later.",were,15,0,274,0.055,0,
"If you eat now, you will be hungry later.",were being,23,0,274,0.084,0,
"If you eat now, you will be hungry later.",will be,160,160,274,0.584,1,
"If you have fewer than 10 items in your basket, you can be in the express line.",I don't know,190,0,190,1,0,fewer
"If you want a friend in Washington, get a dog.",(no article),18,0,396,0.045,0,a
"If you want a friend in Washington, get a dog.",a,229,229,396,0.578,1,
"If you want a friend in Washington, get a dog.",an,41,0,396,0.104,0,
"If you want a friend in Washington, get a dog.",I don't know,47,0,396,0.119,0,
"If you want a friend in Washington, get a dog.",the,61,0,396,0.154,0,
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,a many,46,0,226,0.204,0,the many
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,a much,18,0,226,0.08,0,
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,I don't know,14,0,226,0.062,0,
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,the many,135,135,226,0.597,1,
Imagine the many people who are traveling around hundreds of miles of streets; how are they going to find the right way? ,the much,13,0,226,0.058,0,
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",Flash cannot be as successful as it was in the PC era,72,72,202,0.356,1,Flash cannot be as successful as it was in the PC era
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",I don't know,26,0,202,0.129,0,
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",the PC era inspires and embodies touch interfaces,57,0,202,0.282,0,
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",the PCs do not encourage open web standards,17,0,202,0.084,0,
"In paragraph 2, Steve Jobs expresses that he thinks ____________.",the PCs go well with Flash because of its many issues,30,0,202,0.149,0,
"In paragraph 3, ""had a field day"" most likely means that Pulitzer ____________,",I don't know,202,0,202,1,0,was very excited
"In response to Apple's criticisms, Adobe ____________.",is increasing investment in HTML5 to be more like Flash,16,0,202,0.079,0,will continue developing both HTML5 and Flash with equal efforts
"In response to Apple's criticisms, Adobe ____________.",is shifting resources to develop HTML5 and reducing those dedicated to Flash,32,0,202,0.158,0,
"In response to Apple's criticisms, Adobe ____________.",I don't know,24,0,202,0.119,0,
"In response to Apple's criticisms, Adobe ____________.",will continue developing both HTML5 and Flash with equal efforts,112,112,202,0.554,1,
"In response to Apple's criticisms, Adobe ____________.",will continue to focus on Flash regardless of Apple’s criticisms,18,0,202,0.089,0,
Is she buying a new car today?,bought,11,0,274,0.04,0,buying
Is she buying a new car today?,buying,177,177,274,0.646,1,
Is she buying a new car today?,buys,51,0,274,0.186,0,
Is she buying a new car today?,I don't know,14,0,274,0.051,0,
Is she buying a new car today?,will buy,21,0,274,0.077,0,
Is this Stephen's first time visiting?,No; he used to go to school in Indiana.,22,0,190,0.116,0,Yes; he has never been to this area of the country.
Is this Stephen's first time visiting?,No; he visits pretty often.,11,0,190,0.058,0,
Is this Stephen's first time visiting?,Yes; he has never been to this area of the country.,111,111,190,0.584,1,
Is this Stephen's first time visiting?,Yes; he's been to this area of the country but never to Indiana.,27,0,190,0.142,0,
Is this Stephen's first time visiting?,I don't know,19,0,190,0.1,0,
It can be inferred from paragraph 1 that Havaianas are ____________.,I don't know,24,0,190,0.126,0,popular among everyone
It can be inferred from paragraph 1 that Havaianas are ____________.,only available in Brazil,21,0,190,0.111,0,
It can be inferred from paragraph 1 that Havaianas are ____________.,only worn by millionaires,22,0,190,0.116,0,
It can be inferred from paragraph 1 that Havaianas are ____________.,popular among everyone,116,116,190,0.611,1,
It can be inferred from paragraph 1 that Havaianas are ____________.,worn while playing soccer,7,0,190,0.037,0,
It can be inferred from paragraph 1 that ____________.,It was not hot at all.,50,0,614,0.081,0,The hot weather came early.
It can be inferred from paragraph 1 that ____________.,Summer did not start this year.,46,0,614,0.075,0,
It can be inferred from paragraph 1 that ____________.,The hot weather came early.,141,141,614,0.23,1,
It can be inferred from paragraph 1 that ____________.,The hot weather came late.,45,0,614,0.073,0,
It can be inferred from paragraph 1 that ____________.,I don't know,332,0,614,0.541,0,
It can be inferred from the passage that ____________.,I don't know,240,0,240,1,0,umami can improve the health of the elderly
It can be inferred from this passage that ____________.,Hispanic advocacy groups will promote this TV movie,26,0,634,0.041,0,Sofia will no longer be referred to as a Latina princess
It can be inferred from this passage that ____________.,Sofia will no longer be referred to as a Latina princess,82,82,634,0.129,1,
It can be inferred from this passage that ____________.,Sofia will not be voiced by Ariel Winter,25,0,634,0.039,0,
It can be inferred from this passage that ____________.,it is surprising that more Irish adults are becoming overweight or obese,55,0,634,0.087,0,
It can be inferred from this passage that ____________.,I don't know,293,0,634,0.462,0,
It can be inferred from this passage that ____________.,obesity is a major contributing factor to the rising obesity rate worldwide,80,80,634,0.126,1,
It can be inferred from this passage that ____________.,shift the focus to new information given in paragraph 3,29,0,634,0.046,0,
It can be inferred from this passage that ____________.,the number of countries with rising obesity rates has stayed about the same in recent years,16,0,634,0.025,0,
It can be inferred from this passage that ____________.,the voice of Sofia's mother will be played by a Caucasian actress,28,0,634,0.044,0,
It can be inferred from this passage that the woman ____________.,I don't know,218,0,218,1,0,does not teach pronunciation explicitly
It can be inferred that Edward Snowden is ____________.,content with his actions and takes pride in executing them,93,93,240,0.388,1,content with his actions and takes pride in executing them
It can be inferred that Edward Snowden is ____________.,convinced that he made a mistake and wants to stay in Hong Kong,26,0,240,0.108,0,
It can be inferred that Edward Snowden is ____________.,happy with what he did and wants to go back to the U.S,44,0,240,0.183,0,
It can be inferred that Edward Snowden is ____________.,I don't know,42,0,240,0.175,0,
It can be inferred that Edward Snowden is ____________.,upset and embarrassed with himself,35,0,240,0.146,0,
It can be inferred that ____________.,I don't know,226,0,226,1,0,Facebook was first approached by the Lulea Business Agency
It can be inferred that this position ____________.,is targeted toward people working at central banks,32,0,202,0.158,0,offers a very good salary and benefits
It can be inferred that this position ____________.,I don't know,21,0,202,0.104,0,
It can be inferred that this position ____________.,offers a very good salary and benefits,89,89,202,0.441,1,
It can be inferred that this position ____________.,requires a lot of traveling,26,0,202,0.129,0,
It can be inferred that this position ____________.,requires a minimum level of experience in the field,34,0,202,0.168,0,
It can be inferred that workers in Johannesburg ____________.,did not want to see the snowfall,15,0,274,0.055,0,were happy about the snowfall
It can be inferred that workers in Johannesburg ____________.,hated the snowfall,8,0,274,0.029,0,
It can be inferred that workers in Johannesburg ____________.,I don't know,32,0,274,0.117,0,
It can be inferred that workers in Johannesburg ____________.,were happy about the snowfall,206,206,274,0.752,1,
It can be inferred that workers in Johannesburg ____________.,were indifferent to the snowfall,13,0,274,0.047,0,
It is most likely the case that ____________.,Ms. Nielson called the hotel first about this issue.,38,38,218,0.174,1,Ms. Nielson called the hotel first about this issue.
It is most likely the case that ____________.,Ms. Nielson does not want the hotel's help with this issue.,62,0,218,0.284,0,
It is most likely the case that ____________.,The hotel does not want to help Ms. Nielson with this issue.,37,0,218,0.17,0,
It is most likely the case that ____________.,The hotel is calling Ms. Nielson first about this issue.,55,0,218,0.252,0,
It is most likely the case that ____________.,I don't know,26,0,218,0.119,0,
It turns out that scientists are looking forward to printing in 4D.,I don't know,12,0,190,0.063,0,printing
It turns out that scientists are looking forward to printing in 4D.,print,44,0,190,0.232,0,
It turns out that scientists are looking forward to printing in 4D.,printed,19,0,190,0.1,0,
It turns out that scientists are looking forward to printing in 4D.,printing,95,95,190,0.5,1,
It turns out that scientists are looking forward to printing in 4D.,prints,20,0,190,0.105,0,
It would be better if there were less light in this room.,few,51,0,226,0.226,0,less
It would be better if there were less light in this room.,fewer,45,0,226,0.199,0,
It would be better if there were less light in this room.,less,70,70,226,0.31,1,
It would be better if there were less light in this room.,lesser,31,0,226,0.137,0,
It would be better if there were less light in this room.,I don't know,29,0,226,0.128,0,
"It's possible for this to happen, isn't it?",is it,44,0,190,0.232,0,isn't it
"It's possible for this to happen, isn't it?",isn't it,93,93,190,0.489,1,
"It's possible for this to happen, isn't it?",it is,28,0,190,0.147,0,
"It's possible for this to happen, isn't it?",it isn't,10,0,190,0.053,0,
"It's possible for this to happen, isn't it?",I don't know,15,0,190,0.079,0,
Joe and Sam's sister decided to park her car in their garage.,Joe and Sam's,72,72,190,0.379,1,Joe and Sam's
Joe and Sam's sister decided to park her car in their garage.,Joe and Sams',26,0,190,0.137,0,
Joe and Sam's sister decided to park her car in their garage.,Joe's and Sam,68,0,190,0.358,0,
Joe and Sam's sister decided to park her car in their garage.,Joe's and Sam's,10,0,190,0.053,0,
Joe and Sam's sister decided to park her car in their garage.,I don't know,14,0,190,0.074,0,
"Johnson has been elected president, making her the first woman to take this role.",has made,43,0,226,0.19,0,making
"Johnson has been elected president, making her the first woman to take this role.",made,18,0,226,0.08,0,
"Johnson has been elected president, making her the first woman to take this role.",make,23,0,226,0.102,0,
"Johnson has been elected president, making her the first woman to take this role.",making,117,117,226,0.518,1,
"Johnson has been elected president, making her the first woman to take this role.",I don't know,25,0,226,0.111,0,
Korean music has its influence far beyond East Asia.,has,146,146,202,0.723,1,has
Korean music has its influence far beyond East Asia.,have,32,0,202,0.158,0,
Korean music has its influence far beyond East Asia.,having,8,0,202,0.04,0,
Korean music has its influence far beyond East Asia.,having had,8,0,202,0.04,0,
Korean music has its influence far beyond East Asia.,I don't know,8,0,202,0.04,0,
Lady Gaga is one of the most visible celebrities in the world.,and,64,0,396,0.162,0,of
Lady Gaga is one of the most visible celebrities in the world.,at,36,0,396,0.091,0,
Lady Gaga is one of the most visible celebrities in the world.,in,53,0,396,0.134,0,
Lady Gaga is one of the most visible celebrities in the world.,I don't know,34,0,396,0.086,0,
Lady Gaga is one of the most visible celebrities in the world.,of,209,209,396,0.528,1,
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",I don't know,23,0,190,0.121,0,slimy
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",slime,29,0,190,0.153,0,
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",slimily,11,0,190,0.058,0,
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",sliming,37,0,190,0.195,0,
"Lean, finely textured beef is both pink and — like all ground beef — has a slimy texture.",slimy,90,90,190,0.474,1,
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",confront,47,0,240,0.196,0,endure
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",endure,89,89,240,0.371,1,
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",look at,56,0,240,0.233,0,
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",I don't know,29,0,240,0.121,0,
"Liberty and Peace were prepared ""to face,"" or to ____________, the press.",sit opposite of,19,0,240,0.079,0,
LinkedIn Corp. will soon open up its online professional networking service to high school students.,his,43,0,240,0.179,0,its
LinkedIn Corp. will soon open up its online professional networking service to high school students.,his or her,19,0,240,0.079,0,
LinkedIn Corp. will soon open up its online professional networking service to high school students.,its,122,122,240,0.508,1,
LinkedIn Corp. will soon open up its online professional networking service to high school students.,I don't know,20,0,240,0.083,0,
LinkedIn Corp. will soon open up its online professional networking service to high school students.,their,36,0,240,0.15,0,
Lulea is an attractive location for businesses like Facebook because ____________.,I don't know,226,0,226,1,0,cooler tempuratures year-round keep servers from overheating
Management announced that lunch would be provided regularly.,I don't know,22,0,226,0.097,0,regularly
Management announced that lunch would be provided regularly.,regular,43,0,226,0.19,0,
Management announced that lunch would be provided regularly.,regularly,118,118,226,0.522,1,
Management announced that lunch would be provided regularly.,regulate,28,0,226,0.124,0,
Management announced that lunch would be provided regularly.,regulator,15,0,226,0.066,0,
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,disapproves of,107,107,190,0.563,1,disapproves of
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,is indifferent to,14,0,190,0.074,0,
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,is perplexed about,28,0,190,0.147,0,
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,is satisfied with,19,0,190,0.1,0,
Marcela Davison Aviles _____________ the decision to call Sofia a Latina princess.,I don't know,22,0,190,0.116,0,
Miller suggests avoiding coffee during time periods when the body is naturally more alert.,I don't know,226,0,226,1,0,avoiding
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",among,105,105,202,0.52,1,among
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",between,21,0,202,0.104,0,
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",from,33,0,202,0.163,0,
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",I don't know,16,0,202,0.079,0,
"Minaj says Chanel, Versace, and Herve Leger were among her inspirations.",with,27,0,202,0.134,0,
Nine inches of rain in parts of West Virginia destroyed or damaged more than 100 homes.,few,12,0,218,0.055,0,more
Nine inches of rain in parts of West Virginia destroyed or damaged more than 100 homes.,lesser,4,0,218,0.018,0,
